     1.000     1.000     1.000     0.000     0.000     0.000     0.419    -1.041
     0.000     0.000     0.000     1.000     0.000     0.000    -0.452     0.756
     0.000     0.000     0.000     0.000     1.000     0.000    -1.386    -0.183
     0.000     0.000     1.000     0.000     1.000     0.000    -0.667    -0.498
     1.000     1.000     0.000     1.000     0.000     0.000     0.253    -0.169
     0.000     1.000     0.000     1.000     1.000     0.000    -0.440    -0.146
     0.000     1.000     0.000     0.000     1.000     0.000    -0.937    -0.713
     1.000     1.000     1.000     0.000     0.000     0.000     0.419    -1.041
     0.000     1.000     0.000     0.000     1.000     0.000    -0.937    -0.713
     1.000     1.000     0.000     0.000     1.000     0.000    -0.652    -1.143
     1.000     1.000     0.000     0.000     1.000     0.000    -0.652    -1.143
     1.000     1.000     1.000     1.000     0.000     1.000     1.406     0.065
     0.000     1.000     1.000     1.000     0.000     1.000     1.112     0.522
     0.000     1.000     1.000     1.000     0.000     0.000     0.525    -0.070
     0.000     0.000     0.000     1.000     0.000     0.000    -0.452     0.756
     1.000     1.000     1.000     1.000     0.000     0.000     0.829    -0.506
     0.000     1.000     1.000     1.000     0.000     1.000     1.112     0.522
     0.000     0.000     0.000     1.000     0.000     1.000     0.160     1.334
     0.000     1.000     1.000     1.000     1.000     0.000     0.129    -0.452
     0.000     1.000     1.000     1.000     0.000     1.000     1.112     0.522
     0.000     1.000     0.000     1.000     0.000     0.000    -0.025     0.233
     1.000     0.000     0.000     0.000     1.000     0.000    -1.047    -0.627
     0.000     0.000     0.000     0.000     1.000     0.000    -1.386    -0.183
     1.000     1.000     0.000     1.000     1.000     0.000    -0.151    -0.551
     0.000     1.000     1.000     1.000     0.000     1.000     1.112     0.522
     0.000     0.000     0.000     1.000     0.000     1.000     0.160     1.334
     0.000     1.000     0.000     1.000     0.000     1.000     0.555     0.800
     0.000     1.000     0.000     0.000     1.000     0.000    -0.937    -0.713
     1.000     1.000     1.000     1.000     0.000     1.000     1.406     0.065
     0.000     0.000     1.000     1.000     0.000     1.000     0.785     1.035
     0.000     0.000     0.000     1.000     0.000     1.000     0.160     1.334
     0.000     0.000     0.000     0.000     1.000     0.000    -1.386    -0.183
     1.000     0.000     0.000     0.000     1.000     0.000    -1.047    -0.627
