1,8,H
2,7,H
6,3,A
4,5,H
9,16,H
10,15,H
11,14,H
13,12,A
8,1,A
2,7,H
3,6,H
5,4,A
9,16,H
10,15,H
11,14,H
12,13,H
8,1,H
2,7,A
3,6,A
5,4,H
9,16,A
10,15,A
14,11,H
13,12,H
8,1,H
7,2,H
3,6,A
5,4,H
9,16,A
10,15,A
11,14,A
13,12,H
1,8,H
2,7,H
3,6,H
4,5,H
14,11,A
12,13,H
